id,comentario,clasificacion
13,"Muy mala experiencia, abrir una cuenta free online y accedí a todo. Solo faltaba la tarjeta la cual fui personalmente a recoger y no podría acceder a la banca móvil ni al aplicativo. Y cada vez que intentaba recuperar contraseña me salía acceso restringido! Teniendo la tarjeta en mis manos la contraseña y la clave digital activa. No encuentro forma de poder acceder a la banca móvil. Fui al banco y no me saben dar respuesta del problema, osea me dejaron en el aire! Muy mala Experiencia de verdad",no_relevante
14,buena app,no_relevante
15,"La clave dinámica no llega, y si es que llega tarda demasiado. Complica mucho hacer operaciones por plin, por más pequeñas que sean. Definitivamente es un problema que deben solucionar. Antes la aplicación era super rápida.",relevante
16,un dolor de cabeza está app deseo hacer una transferencia y no llega el token o código de verificación,relevante
17,mejorar,no_relevante
18,"que molesto que cada vez que ingreso a la app me aparezca la opción de activar token, no me deja hacer prácticamente nada, cuando procedo con la activación me dice que necesitan mas información y sigo en ese ciclo, me veo forzado a cambiar de banco, por no poder usar la app, gracias",relevante
19,"Total desastre, estoy desesperada porque no puedo hacer ningún pago, no transferencias con la nueva versión del app, fui al banco y me dijeron que mi toque digital, mi tarjeta estaban bloqueados y no me dieron una razón de peso, no sé qué hacer, he desinstalado la APP para ver si volviendo a instalar podía acceder y nada, es más, no puedo instalar nada, esto es algo burdo y encima de todo en estos momentos en donde deberíamos tener más facilidades para hacerlo todo desde casa y tienen mi dinero",relevante
20,"La verdad es q estoy agradecido de mantenerme informado de cada retiro q realizo con control gracias a la app... lo malo es q no se pueda obtener la clave token como muchos otros bancos q permiten hacerlo por medio del internet mismo con la app.. acercarse al banco en estos momentos es un riesgo total al solo tratar de conseguir la clave token.. si se pudiera tener el acceso con mis propios datos por medio de mi celular y mi app,ya estaria mas q contento. En verdad no seria nada malo q faciliten",relevante
21,"La última actualización lo empeoró totalmente, la interfaz está horrible, no se adecua a la pantalla, no se puede buscar los contactos y a cada rato se pierde la conexión y en cada instante te aparece el mensaje de ""Hemos encontrado un problema"". 🤦🤦🤦🤦 Inservible app.",no_relevante
22,Estube descargando la app del banco de la nación y una ves descargada voy a ingresar y me pedía que acepte que la app administre mis llamadas algo raro porque vi un video de como se activa y jamás salió aceptar algún permiso . Por favor alguien que me sugiera como bajar sin esperar este tipo de cosas que la verdad hacen que uno desco fie de estas aplicacion que piden información personal y confidencial a nosotros como usuarios . Gracias,relevante
23,"Sé detuvo en estos momentos, que mal 👎 antes era genial, ahora tengo que reiniciar mi cel cada que tengo que ingresar a la app, pésimo él aplicativo creo que haré todo x yape",no_relevante
24,El código llega tarde o nunca. Es la única App que siempre funciona muy mal.,relevante
25,"Esta app, es un problema mejor estaba la anterior dejar realizar todos los pasos de transferencia, pero en el momento de transferir viene el problema, te dice que en estos momentos no puede realizar la transferencia y te mantiene por minutos y solo regresa al anterior mensaje, Sres. Cuando realicen un una actualización de sus aplicaciones, realicen pruebas hasta que todo esté funcionando correctamente. Es una incomodidad estar en esta situación",no_relevante
26,Excelente app,no_relevante
27,"Hace 4 días estoy intentando realizar transferencias y no me llega el token por mas que insisto en el reenvío por mensaje y correo, nunca llega, como soluciono esto? No puedo ni siquiera recargar mi celular",relevante
28,"Pesima aplicacion. Cada vez que ingreso con huella dactilar debo intentarlo 4 o 5 veces porque se queda congelado. Y no es mi movil, ya que tambien tengo instalada la app de IBK y fluye muy bien. Tengo 24 años con uds y por esta pesima app ya pienso en cambiarme de banco porque me hce perder tiempo y paciencia.",relevante
29,"Desde este mes que no puedo ingresar a la app me sale error en validar clave. Estaba muy bien, ahora me decepciona porque no puedo hacer seguimiento a mis gastos.",relevante
30,"Es una porqueria , me sale error de clave e intente llamr esos numero que aparecen en la app , me tuvieron ahi casi una hora con su tono de espera y al final lo cortaron , por las puras esperando y gastando mi credito , no sirve para nada",no_relevante
31,No funciona para Android,no_relevante
32,Esta muy bien. Pero no permite agregar cuentas favoritas a las cuentas que siempre envías dinero y es molesto estar escribiendo los datos a cada momento que vas a transferir. Ejemplo envío dinero a un amigo y que guarde sus datos como favorito para más adelante solo darle a ese favorito y aparezcan sus datos de la cuenta sin tener que volver a colocar los datos. Esa es mi recomendación.,no_relevante
33,"Bcp que dolor de cabeza, se actualizo para mal la App y tuve que perder mi valioso tiempo para buscar un banco bcp en provincias para activar mi token digital y cada vez vez se cierra siempre sale errores en la app y tengo que reiniciar el celular muchas veces, por favor solucionen el problema. Muchas gracias",relevante
34,"Pesima aplicación y peor de un tremendo banco tanto les cuesta crear una buen app todo lo ven dinero nada más horrible, no aparece mi saldo no puedo yapear me salta error una porquería de app Y lo vuelvo a recalcar hoy 18 de septiembre del 2024 basura de aplicativo tengo que pagar una cuenta y me deja diciendo que no me pueden mostrar mi saldo que hago ahorita! Avisen anuncien cuando van a actualizar esta porquería, para que no dejen a sus usuarios en el aire",relevante
35,"Está App para todo el tiempo en mantenimiento, no se pueden hacer transferencias, por qué siguen en mantenimiento... Esperemos que con esta nueva versión hayan solucionado los problemas, aunque lo dudo.",no_relevante
36,A cada rato me bloquea la clave dinámica digital uno esta en apuros y la bloquea 😒🙄🙄🙄,relevante
37,Es malísima ni una semana y media y ya me genera problemas,no_relevante
38,Esta super lenta la aplicación,no_relevante
39,"Lamentable que por cambiar de celular tenga que acercarme a una oficina en pleno 2024 casi 2025, que verguenza, ningun banco hace lo mismo.",relevante
40,mal con la nueva versión. no sé puede hacer pagos ni nada se cierra. y x la banca piden token lo mismo que no tener app e ir a perder el tiempo en el banco,relevante
41,Se actualizo y ahora ya no funciona Que pésimo servicio,no_relevante
42,"Buenos días. Por favor solucionen el problema , no se puede ingresar .",no_relevante
43,Pésima atención en la app después de cierta hora no sirve para nada o incluso en las horas que indica que si se puede realizar cambios en la cuenta o en la configuración no te deja te regresa al mismo lugar👎,no_relevante
44,"Buenas noches. Desde el pasado domingo 10, no carga la aplicación, simplemente me bota al menú inicio del celular, no mostrándome nada...ya lo reporté en 3 oportunidades a banca telefónica, ya lo desinstalé y reinstalé, por último hoy ya lo revisaron en la of de Surquillo, borraron caché, revisaron config. horaria, modo avión, desinstalaron, reinstalaron....me dijeron que sólo cabía esperar y me dieron un token físico para hacer mis operaciones por internet.......así va a ser en adelante ?",relevante
45,"Acabo de volver a instalarla en Android y no puedo acceder. Pide actualizarla, pero ya la actualice. 🫠🫠",no_relevante
46,Esta app esta pensada para iPhone y no para Android. Cada que se pulsa la tecla de atrás se sale la app. También debería haber un botón de agregar todo cuando quiera agregar dinero a mi alcancía. Al momento de levantarse el teclado tapa lo saldos y para ocultarlo no se puede presionar atrás ya que esto cierra la app.,no_relevante
47,"Desde la última actualización las cosas se malograron, la interfaz de antes era más sencilla llamativa y encontrabas todo genial. Con la ultima no puedo visualizar los montos a pagar, debo ponerlo, o sea antes no había riesgo de confundirte, se seleccionaba el recibo, pero ahora es un caos, los pagos frecuentes si están pero igual debes de colocar todos los datos antes ya no era necesario pues se guardaban como frecuentes todo esos datos. Hoy (21-10-20) no puedo no quiera ingresar a la app.",no_relevante
48,Tengo varios días sin poder ingresar al app. Perdí la cuenta de las veces que he tenido q desinstalar y volver a instalar el app después de tanto no funciona solo aparece el mensaje q ocurrió un problema y están trabajando en ello. Su personal en agencias no sabe nada solo admite q el app tiene problema. Señores BCP exigimos una solución ya!,no_relevante
49,Es el colmo no puedo abrir el app cuando mas necesitooooo,no_relevante
50,Pesima intento cambiar de solo consulta a operaciones y consultas me llega el token pero luego no me permite cambiar dice que sale un error lo probe en version web y en esta aapy nada,relevante
51,"Pésima app, demora muchísimo, se cierra automáticamente, se cuelga, nosé como una empresa tan grande tiene una aplicación q en verdad es pésima. En estos tiempos deberían tener una aplicación más rápida, ya que ahora todo pago es con tarjeta, pero creo q ustedes no van de acorde a los tiempos de ahora. Valoración ""0""",no_relevante
52,"Pésimo servicio de interbank. Demora en llegar la clave dinámica, una larga eternidad para que llegue al celular.",relevante
53,"Muy mala la actualización , la anterior era muy buena ,ahora poder ver mis movimientos de mi tarjeta de crédito no los puedo hacer por el app , tengo q entrar a la web , solo se visualizan los dos últimos ,fui al banco a ver si había alguna solución pero la encargada ni siquiera sabía que hacer, era muy buena pero la malograron",relevante
54,"No se si tienen problemas con la app hoy pero ingreso y me indican que no cuento con una tarjeta de crédito la cual recién pague ayer, muchas molestias con su app",relevante
55,"Qué pasa con la aplicación??? Desde el 12/12/2022 que no funciona y me dice que la vuelva a abrir lo hago y me dice que no se puede y que la cierre. Ya me queje varias veces, primero me dicen que desinstale y lo vuelva a instalar. Pero como aún así no funciona, me dicen que van a enviar un correo al área respectiva. Pero aún no la puedo usar porque sigue sin abrirse.",no_relevante
56,"Si quieres complicarte la Vida baja este App, Me cobra 2.30 por cada transferencia así sea 1 SOL, muchas veces esta en mantenimiento y no puedes usarla, Al sacar tu dinero en un multired para saber tu saldo 0. 40 céntimos, tengo 3 tarjetas de otros bancos y ninguna me cobra por visualizar eso, osea porque cobran comisión si ningun otro banco lo hace y Porfavor nunca pierdan la tarjeta para reponerla te cobran 20 soles mas",no_relevante
57,Desde que actualice el app no puedo visualizar mis movimientos de compras. Antes de la actualización no había ningún problema con el aplicativo.,relevante
58,"Estimados señores del BBVA, con disculparse no solucionan el problema, somos personas que tienen su dinero en su banco, mueven millones y no pueden corregir un aplicativo?, muy mal. cada minutos que pasa que no puedo hacer transferencias o pagos es perder dinero y eso el banco no lo devuelve. pensaré seriamente en continuar con este banco. No puedo activar mi token.",relevante
59,bueno,no_relevante
60,"Todo iba bien con la aplicación, pero hace un mes y medio el plin de la aplicación esta funcionando muy mal, demora demasiado en cargar y al final no llega la transferencia, pero hoy ya fue el colmo, tuve que hacer el pago por efectivo, ya que no cargaba, sin embargo despues de 10 minutos al ingresar a la aplicación veo que si se hizo la transferencia y todavía tres veces, osea me descontaron bastante dinero, y cuando llamo a atención al cliente, demoran más de diez minutos en contestar.",relevante
61,"Siempre que hay una actualización se desconfigura la huella digital y aveces uno no recuerda la contraseña por que es mas practico la huella y cada ves tengo que estar cambiando la contraseña, hay un delicuente que esta llamando por whatsaap, diciendo que lo agregues indicando para solucionarte el problema que reportas y te manda in enlace para que pongas tu dni y luego tu contraseña pero es una página falsa y cuando lo descubres te bloquea y te dice que te va ha bloquear la tarjeta",relevante
62,"Es bien lenta y desespera, cuando por fin ingresas no carga tus movimientos, sale en reiteradas veces error. Malísima aplicación.",relevante
63,"Es vergonzoso que el banco más grande del Perú tenga una App cómo está. La app se la pasa mostrando mensajes de disculpas... No lista los favoritos, errores en la lectura del token, errores para transferencias interbancarias y cuando quieres hacer pago de servicios al 4to o 5to intento funciona. Una pérdida de tiempo",relevante
64,Es de mucha ayuda.,no_relevante
65,"Pésima, con la actualización ahora me dice que he digitado mal mi clave por 3 veces y no me deja entrar. Trato de comunicarme con los números de la mesa de ayuda y ninguno atiende, que mal servicio, deberían habilitar una opción aquí para no colocar ninguna estrella.",relevante
66,De una maldita vez quédense con una actualización hace unos días llegue a guardar mis datos de tarjeta para no estar sacando mi tarjeta a cada rato y solo poner mi clave... Y ahora resulta que han actualizado nuevamente su página.. Y ahora pongo mi dni de nuevo mi número de tarjeta y mi clave y oh sorpresa me sale un anuncio diciéndome actualiza tu correo o número de celular por seguridad....??? Y no llego a entrar a mi cuenta que actualizo de donde si mi correo esta bien y mi número también??? Por favor en vez de facilitar a los usuario s nos estresan más. Espero una pronta solución y manera rápida de acceder a mi cuenta sin que me pongan tantas travas.. Suficiente con solo yo poner mi clave,relevante
67,"Que pésimo servicio, no se puede ingresar para realizar algún movimiento, pierdo tiempo en esa app, instalé varias veces y nada.",no_relevante
68,"creo que desactivar las capturas de pantalla a los movimientos, le resto muchos puntos a la app, normalmente uno lleva controles de gastos y es complicado estar solicitando estado de cuenta a cada rato, adicional a ello se malinterpreta que no puedas llevar controles de tus movimientos",no_relevante
69,Van como 3 veces que voy ingresando los datos y cuando generan clave digital demora 4 min el mensaje en llegar y cuando lo ingreso el aplicativo indica que hubo un error inténtalo más tarde... No logro entrar prefiero la versión anterior.,relevante
70,"Realmente un servicio digital incompetente, quize pagar un producto y me bloquearon la tarjeta de AHORROS! Perdí una oportunidad y gané malestar, es preferible tener el dinero en efectivo. Como perjudica este banco!",relevante
71,"Banco de la Nación es la peor entidad financiera del estado, tecnológicamente está en tiempo de la era del piedra, digitalmente no está a la altura de los bancos privados, instalas el aplicativo BN no se puede configurar el token digital y la clave dinámica, primero se tiene que acudir presencialmente a la ventanilla de Banco Nación para configura el número telefónico y operador a su sistema, en seguida otro agente del banco manipula el teléfono asociando el aplicativo al sistema, engorroso!",relevante
72,"la app no muestra el historial de consultas de saldo en cajeros, importante para detectar si clonaron mi tarjeta",relevante
73,No puedo abrir,no_relevante
74,"Muy mala. Todo el tiempo dice que sesión ha terminado. La otra: ""hubo un error en la aplicación"". Dan dirección para mensaje de texto y no funciona. Insufrible .",relevante
75,"Mí yape no se abre a menos que esté conectado a un wi-fi y eso me dificulta muchas cosas. no sé si a alguien más le ocurrirá lo mismo, pero esto es muy desesperante, necesito una solución urgente.",no_relevante
76,"Terrible la última actualización, provocó que bloquean mi acceso",relevante
77,Pesimo no se puede actualizar el token ni en un cajero peor en al app 😠😠😠😠,relevante
78,"Pésima actualización. Arruinaron Lukita. Realmente hay que ser inepto para aprobar un cambio sin haber hecho primero las pruebas necesarias. Obvio es culpa de algún mando medio que apresuró las cosas, porque los perfiles técnicos que programan fijo que conocen la necesidad de tomarse el tiempo prudente. Así es cuando no hay criterio: se corre mucho sólo para tener que regresar lo andado porque se hizo mal. Elijan mejor a sus jefes intermedios.",no_relevante
79,"La peor app la peor forma de y que seguridad, como es posible que para todo te piden el token digital. Desde la pc debes acceder a la app del celular para el token, es absurdo. Se te perdió el cel te jo porque no tendrás token. De paso, ni el token me aparece, cual es la solución que me plantean desinstalar y volver a instalar cdsm mi dinero está al tiempo que ellos quieren y no de manera inmediata.... mucho que mejorar de esta y que tecnología",relevante
80,"Estoy tratando de ingresar a mi banca móvil y no me deja, siempre sale el mensaje ""hubo un error en la aplicación, porfavor vuelve a intentar más tarde"" De verdad es molesto porque debo hacer un plineo urgente y no se puede. Pésimo servicio.",no_relevante
81,"La app me pide actualizar mis datos, pero en cuanto coloco mi clave SMS se cierra de repente. Lo desinstalé y lo he querido volver a instalar, pero la descarga se detiene cuando llega al 90%. Intenté ingresar a través de la web y cuando lo hago me aparece un mensaje que señala que ha ocurrido un error y que lo intente nuevamente y hasta ahora no he podido acceder de ninguna forma. Pésimo servicio. Espero que se pueda solucionar pronto este inconveniente.",relevante
82,"Desde hace ya 3 días que no me deja acceder a la aplicación, sale que lo intente más tarde, que es una falla temporal, etc. Además me han quitado más de 2 soles sin mi consentimiento, aunque es poco, se supone que Interbank debería tener seguro mi dinero, cosa que hasta ahora no veo funcionar completamente, soluciónenlo y cambiaré mi calificación.",relevante
83,"una porquería la app. no puedo hacer ni transferencia ni plin, la clave digital demora en llegar demasiado",relevante
84,"La aplicación se ha vuelto lento. Para los trabajadores del banco es rápido y el problema es nuestro dispositivo. La versión anterior si era rápido. Además, con la versión actual no puedo pagar algunos servicios y tengo que recurrir al app de BCP para pagar ya que ahí funciona ok.",no_relevante
85,"Es muy práctico. Decepcionante a la vez ,quise pagar por yape oopps no cargo, derrepende pensé con un reinicio y fue constante. Trato de instalar peroooo se queda pensando en el play store . Sigo esperando una semana y naaa. Tan bien estuve en Plin jamás fallo. Bien dice el dicho no dejes lo viejo por lo nuevo.",no_relevante
86,"con cada actualización que pasa se vuelve más monse, siniquiera el CVV se puede ver y es algo que realmente hace falta.",relevante
87,"Me preocupa que por seguridad se tengan que ingresar pin de seguridad todavía, otros bancos ya cuentan con ingreso por huella, espero que lo agreguen al igual que paso en yape hace unos días. Por otro lado estaría también ocuparse de colocar el modo oscuro, para algunos nos es necesario pues tenemos problemas con la vista y la fotosensibilidad (bajar el brillo no siempre es bueno)",relevante
88,"Una mala aplicación, cambiaron para mal, su aplicación anterior era práctica, funcional y fácil, ahora te limita muchas acciones y falla mucho, y el toquen digital tengo q volver a ir al banco a solicitarlo, porque pese a que figura, allí mismo, mi celular como equipo autorizado dice q tengo que ir a solicitar nuevamente la autorización porque la app cambio.👎👎👎",relevante
89,"Su app es pésima, para que existe esta app si en lugar de ayudar, entorpece el proceso de pago? No permite hacer pagos de préstamo ni antes ni durante la ultima fecha de vencimiento, solo esperan que se venza para cobrar comisiones. Aun asi, ni siquiera sirve para ver el detalle de pago o monto, ya que arroja error en cada momento; su solucion es solo enviarte a pagar a oficina.",no_relevante
90,"Esta app sigue fallando, llevo más de un mes tratando de hacer operaciones y desde la última actualización me sale, ""intente más tarde"" lo desinstale muchas veces y la he descargado en otro equipo, y me piden el token digital, agrego la clave y sale que me llamarán y que debo agregar nuevamente el token. Francamente una tontería su actualización. Solucionen esto por favor!!",relevante
91,"Abri con mi pareja un plazo fijo ...yo puedo ingresar a su app, pero ella no puede, indica que ya tiene una cuenta asociada y se cierra. Solución a eso genios?",relevante
92,Hay problemas con plin?,no_relevante
93,Aveces funciona y aveces no. Además no se puede hacer todos los pagos como por ejemplo a las universidades. Espero que más adelante aummenten esta opción.,no_relevante
94,demasiado lento e inservible,no_relevante
95,"Horrible. La mayoría de veces que quiero ver mis movimientos no sé puede, la aplicación es súper lenta y casi siempre no abre.",no_relevante
96,"no puedo ver mis movimientos de hace 2 meses!! solo me muestra los ultimos 30 dias, necesito todo el historial para mi declaracion",relevante
97,"Quiero activar el token en el aplicativo pero solo me permite tomar foto al DNI pero a la hora del selfie sale error, ya varias veces he intentado y nada, solucionen ese problema, por que llame a la línea y me dice que me acerque al banco para solicitar una nueva tarjeta para activarla y me cobran por eso 20 soles, que buen negocio esa es la opción de solucionar el problema?, no es suficiente con cobrar una comisión en cada retiro sino que ahora es esa trampa",relevante
98,mala,no_relevante
99,No es tan fácil de utilizar te pide tanto proceso solo para hacer Plineos de pocos soles no es muy práctico y te pide actualizar a cada rato en momentos importantes excelente banco mala aplicación,no_relevante
100,"La versión anterior era más intuitiva para personas mayores y personas que no dominan la tecnología, está nueva versión tiene más errores que la version anterior. Deberían incluir ingreso a la aplicación con huella digital como la App del Interbank que es de lejos la mejor.",relevante
101,"Me facilita algunas cosas pero es problemático que no me permita revisar mis movimientos después de finalizada la transferencia. Un día intenté revisar a que cuenta envié el dinero y no me permite, hice la transferencia y al momento siguiente ya no podía verlo.",no_relevante
102,Para actualizar la clave es un problema,relevante
103,"Desde hoy 14/09/2021, no funciona más la app, en mi Galaxy 8 Note. Al abrirla, solo carga el aplicativo, ingreso la contraseña y se cierra inmediatamente, dando un mensaje de error. Lo he intentado 35 veces más, he desinstalado la app, la he vuelto a instalar, he apagado el teléfono otras 20 veces, he limpiado la memoria caché, borrado los datos y nada, no hay forma. No me permite ingresar a mi espacio para hacer mis gestiones bancarias. Muy mal, tratándose de un banco de primer nivel como este.",no_relevante
104,"INTENTÉ VARIAS VECES (40) solicitar mi código de verificación para poder ingresar a la app, ""PENSANDO QUE ESTARIA MAL MI CELULAR PROBÉ EN INSTALARLO HASTA EN 3 DISPOSITIVOS DISTINTOS"" y al solicitarlo se DEMORA 15 o hasta 30 minutos en llegar el bendito código, y cuándo llega a mi correo ya paso el tiempo de espera y sí, me vuelve a REBOTAR todo lo que venia haciendo, PÉSIMO PÉSIMO PÉSIMO servicio de calidad!! cuándo antes era más fácil pedir que el código llegara como mensaje al mismo celular.",relevante
105,transferi a otra cuenta y no aparece ni en enviados ni el otro lo recibio pero si me cobraron... sin pruebas,relevante
106,"ne gusta la app,pero demasiado lento aveces no entra rápido caundo necesito hacer un pago o una transferencia,es muy lenta eso molesta,mas cuando es urgente,muy l3neto al entrar y caundoe equivoco en la contraseña ahi si al toque sale que puse emal ero para entrar nada,pésimo arreglen eso por favor acceso en emergencias no es de ayuda.",no_relevante
107,"la aplicación funciona 1 de cada 10 veces, pésimo, los últimos años ha decaído, ni con el Internet más veloz tengo acceso a mi información, mucho menos aún realizar operaciones, y cuando lo reportas solo responden 2 dias después indicando que ya se solucionó, es decir después q tuviste que ir presencialmente a solucionarlo, pero se supone q una app es para transacciones inmediatas ain dirigirse a un banco. Presencialmente pesimo también, una cliente menos estare cancelando todos mis productos.",no_relevante
108,"mala app, me cambiaré de banco no me deja entrar a la banca móvil",no_relevante
109,Es el colmo que te obliguen a actualizar tus datos en el mismo banco para poder usarla. Los usuarios tenemos el derecho de tener acceso rapido a la aplicacion! Cambiare mis cuentas a otro banco en donde traten mejor a los usuarios.,relevante
110,"Cada vez que hago una operación no me da la opcion de por lo menos recibir una constancia o recibo, para comprobar el pago.",relevante
111,Hoy intente abrir y me sale que mi telefono no es compatible.,no_relevante
112,"Va mejorando y elmoofer enviar dinero a celular ayuda mucho, pero he notado que a veces no me llega el dinero y falla el depósito (desconfianza) sería mejor si incluyen ingreso con huella dactilar",relevante
113,"Después de la última actualización falla constantemente. Una muy recurrente es que el token virtual no se autoescribe automáticamente cuando se trata de transferencias directas a otros bcp. En vez de eso, queda la casilla libre para hacerlo manualmente lo que dificulta ya que hay que salir, entrar al token, memorizarlo o anotarlo, y tener suerte de que no se cuelgue el app mientras se ingresa la nueva transferencia dentro de los casi 45 seg que quedan después de ver el token y salir. Muy mal!",relevante
114,"muy mala la app tiene muchos errores y no se puede iniciar sesión de manera correcta , sale mensaje de error al iniciar",no_relevante
115,"App malísima, 0 customizable, no se puede escoger que ver y que no ver. Te piden escoger 3 cuentas al principio para ver como favoritas y luego ya no puedes editarlas si quieres ocultarlas o no. Tampoco funcionan ahora los pagos móviles. Solo tienen ciertas funcionalidas que la anterior. Si van a hacer un release de un app debe ser mejor y tener mejores funcionalidades que la anterior, no solo porque es mas ""bonita"". Para apps de bancos lo que se busca es mas funcionalidad no mejores graficos.",no_relevante
116,La app está que falla últimamente te sale hubo un error en la aplicación vuelve a intentar más tarde espero que lo puedas solucionar ese problema que viene afectando,no_relevante
117,"Cuando funciona correctamente me gusta mucho la app. El problema es cuando no lo hace y es que eventualmente sucede que por más que ingrese el número y clave correctos, pues, nunca termina de cargar. Tengo que desinstalar la aplicación o en su defecto borrar los datos de la caché y datos para que me permita ingresar. Es un verdadero fastidio. Espero que se solucione pronto.",relevante
118,para el ingreso a la app se reinicia a cada rato,no_relevante
119,"Tengo problemas para ingresar a la cuenta y lo unico que me apare es ""erro 3 veces"" ya llevo desinstalando la app mucho y no se que hacer para ingresar a la cuenta",relevante
120,"La app se está cayendo, sale error. Sólo por la web se puede ingresar. Horrible, uno no anda por la calle con laptop en mano como para estar viendo movimientos de su cuenta. Soluciónenlo urgente!!!",no_relevante
121,"Desde la última actualización no he podido cargar la aplicación, a penas termino de ingresar mi clave, se cierra la aplicación ya son varios días, llame a la central de ayuda y me dijeron que espere 24 horas, volví a intentar y sigue igual. Desinstale y volví a instalar y sigue igual.",no_relevante
122,"te falla en el peor momento posible, gracias por bloquearme el acceso durante un pago clave que tenía que hacer y hacerme esperar un día entero...",relevante
123,El mensaje para activar mi Token digital no llega,relevante
124,"No funciona el app y siempre tiene errores.. la versión anterior era mucho mejor y fácil de usar. Deberían parchar el app.. últimamente la app no abre se queda en la primera parte no carga, y si carga ingreso y se pone todo negro y nunca ingresá tengo qué cerrar hacer un refresh al celular ingresar hace lo mismo se pone negro pero entra al minuto.. ya desinstale el app varias veces eh instalé nuevamente y sigue mostrando los mismo errores tengo un Huawei p20 pro",no_relevante
125,"Acabo de descargar la app pero cuando intento entrar a mi cuenta, me sale que no puedo ingresar, he colocado todo los datos correctamente pero nada que ver, pensé que podría usar normal esta app pero veo que no, la desinstalare por pésima.",relevante
126,Hace meses trato de hacer transferencias interbancarias y no me es posible. Fui al banco y después de hacer una cola inmensa me dijeron q ya no use el token digital sino el de msm y nada. Que ineficiencia!!!,relevante
127,es una gran facilidad para todo tipo de transacciones económicas,no_relevante
128,Horrible está última semana no puedo ingresar ni a ver el saldo de la cuenta. La banca por Internet está fallando. Estoy fuera del país y no se puede hacer nada con este banco pésimo servicio.,no_relevante
129,"El problema mas grave de esta app es la falta total de trazabilidad de las operaciones, cuando haces un plin o yape no hay forma de saber si llego o no hasta que te confirme la otra persona, no hay comprobante inmediato, no aparece en movimientos sino hasta horas o dias despues, y si hay algun problema no tienes ninguna evidencia para reclamar, ya van 3 veces que pierdo dinero por esta situacion y el banco no se hace responsable",relevante
130,La peor aplicación que hay... Se te bloquea la clave y no tienes opción de nada y eso no beneficia en nada uno llama y no te dan solución en 24 horas es la peor aplicación de banco,relevante
131,"Disculpe, me pide actualizar datos, coloque el número del token y se reinicia la app, no puedo ingresar en otras palabras, funcionaba muy bien hasta que actualizaron la app, porfavor, alguna solución",relevante
132,Pésimo servicio la de este aplicativo 😒 muy mal que no puedan mejorar,no_relevante
133,"Está fallando demasiado los pagos en plin que agregué como favoritos ya no puedo plinear, me sale para elegir una imagen y no se puede dar continuar después de elegirla, a veces no se puede enviar a las demás plataformas, si van a implementar cosas, que sean probadas antes para evitar afectar al usuario final",no_relevante
134,con la última actualización ya no puedo usar la app porque se cierra automáticamente si intento registrarme. ¿qué se supone que haga con mi dinero?,no_relevante
